Sample	Yield_Average
!16IITC13013	13.8714
!16IITC13015	13.3122
!16IITC13024	13.717
!16IITC13025	13.9244
!16IITC13028	13.3226
!16IITC13029	14.9756
!16IITC13032	13.9996
!16IITC13034	13.9332
!16IITC13039	14.9206
!16IITC13043	13.328
!16IITC13046	13.4378
!16IITC13047	13.6098
!16IITC13050	14.1658
!16IITC13059	14.449
!16IITC13060	14.2962
!16IITC13061	14.5978
!16IITC13062	13.1974
!16IITC13067	14.1278
!16IITC13069	13.9664
!16IITC13073	14.0848
!16IITC13079	13.708
!16IITC13080	13.5418
!16IITC13084	14.1584
!16IITC13087	13.1648
!16IITC13088	13.1888
!16IITC13090	14.0148
!16IITC13094	14.4802
!16IITC13095	14.2606
!16IITC13096	13.8934
!16IITC13098	13.0402
!16IITC13101	13.5066
!16IITC13102	14.6036
!16IITC13103	12.439
!16IITC13105	14.0888
!16IITC13106	13.3892
!16IITC13108	12.8866
!16IITC13110	14.4036
!16IITC13111	13.7932
!16IITC13113	14.0088
!16IITC13117	14.0354
!16IITC13120	14.6508
!16IITC13122	13.2134
!16IITC13125	13.7448
!16IITC13130	13.9578
!16IITC13134	13.7758
!16IITC13135	13.2336
!16IITC13136	14.1258
!16IITC13139	14.5442
!16IITC13140	13.484
!16IITC13141	13.9842
!16IITC13145	15.3012
!16IITC13146	13.5364
!16IITC13147	13.8714
!16IITC13150	13.503
!16IITC13153	13.9844
!16IITC13154	13.1866
!16IITC13155	13.582
!16IITC13156	12.8648
!16IITC13160	13.4846
!16IITC13165	12.7826
!16IITC13166	14.1296
!16IITC13171	13.5348
!16IITC13172	13.6672
!16IITC13175	14.951
!16IITC13176	13.9852
!16IITC13178	13.722
!16IITC13179	12.8558
!16IITC13182	14.15
!16IITC13183	13.504
!16IITC13189	14.3104
!16IITC15001	13.1022
!16IITC15002	14.0928
!16IITC15003	13.1346
!16IITC15004	14.0942
!16IITC15005	13.9206
!16IITC15006	14.483
!16IITC15008	13.2734
!16IITC15009	14.131
!16IITC15010	13.3606
!16IITC15013	14.1164
!16IITC15014	14.8286
!16IITC15017	14.6004
!16IITC15018	14.3906
!16IITC15020	13.3908
!16IITC15021	15.0524
!16IITC15022	13.4682
!16IITC15023	13.4316
!16IITC15024	14.7386
!16IITC15025	12.3408
!16IITC15029	14.1494
!16IITC15031	13.946
!16IITC15040	13.4934
!16IITC15043	13.6098
!16IITC15046	13.174
!16IITC15047	13.7456
!16IITC15048	14.6098
!16IITC15049	14.5072
!16IITC15053	13.49
!16IITC15054	15.8668
!16IITC15055	13.4944
!16IITC15056	13.1868
!16IITC15057	14.7022
!16IITC15058	12.6328
!16IITC15060	13.7422
!16IITC15064	13.8058
!16IITC15065	13.8194
!16IITC15067	14.33
!16IITC15068	13.4176
!16IITC15069	13.7808
!16IITC15070	13.3172
!16IITC15071	13.0694
!16IITC15072	13.6778
!16IITC15073	13.4066
!16IITC15074	13.673
!16IITC15077	14.2246
!16IITC15078	14.7086
!16IITC15079	13.951
!16IITC15080	14.1216
!16IITC15083	13.8578
!16IITC15084	12.9658
!16IITC15088	15.2386
!16IITC15089	14.3766
!16IITC15090	13.829
!16IITC15091	14.2134
!16IITC15092	13.3622
!16IITC15093	13.689
!16IITC15095	13.5792
!16IITC15097	14.7184
!16IITC15098	13.5032
!16IITC15099	14.6466
!16IITC15100	12.8098
!16IITC15101	13.3178
!16IITC15103	14.5596
!16IITC15104	13.8586
!16IITC15105	12.739
!16IITC15109	12.2116
!16IITC15110	14.5482
!16IITC15114	13.7818
!16IITC15116	14.2118
